Employee_ID,Name,Gender,Age,Marital_Status,Education,Department,Job_Role,Experience_Years,Joining_Year,Promotion_Count,Salary,Bonus,Allowance,Tax,Net_Salary,Attendance_Percent,Absents,Late_Days,Performance_Score,Overtime_Hours,Skill_Level,Training_Hours,Manager_Rating,City,Country,Work_Mode,Project_Count,Satisfaction_Score,Attrition
1.0,Bilal Khan,Female,20.0,,,Marketing,Analyst,34.0,2015.0,2.0,296720.0,32268.0,,26800.0,310447.0,67.0,13.0,6.0,3.5,79.0,Intermediate,122.0,5.0,Karachi,Pakistan,Onsite,6.0,5.9,Yes
2.0,Ayesha Noor,Male,44.0,Married,,IT,Officer,21.0,2019.0,4.0,47585.0,22940.0,,15908.0,60817.0,59.0,27.0,16.0,1.4,73.0,,62.0,4.6,Multan,Pakistan,Hybrid,7.0,5.6,Yes
3.0,Nasir Khan,Male,40.0,Single,Master,Operations,Manager,38.0,2020.0,5.0,115972.0,,5987.0,,,45.0,14.0,17.0,1.0,54.0,Intermediate,199.0,1.3,Peshawar,Pakistan,Hybrid,8.0,6.5,No
,Zainab Ali,Male,57.0,Married,Matric,Operations,Officer,37.0,2008.0,5.0,23422.0,7777.0,19636.0,22967.0,27868.0,60.0,20.0,13.0,4.9,20.0,Beginner,93.0,4.9,Islamabad,Pakistan,Onsite,9.0,6.6,Yes
5.0,Usman Ali,Female,50.0,Married,,Operations,Executive,,2011.0,1.0,288905.0,,3891.0,14327.0,325196.0,49.0,21.0,1.0,,65.0,Advanced,117.0,1.2,Islamabad,Pakistan,Hybrid,5.0,6.7,Yes
6.0,Bilal Khan,Female,31.0,Married,Master,Operations,Manager,38.0,2019.0,,93675.0,11617.0,2971.0,,91133.0,46.0,23.0,9.0,4.3,46.0,Advanced,90.0,4.2,Multan,Pakistan,Remote,12.0,8.5,No
,Nida Malik,Male,40.0,Single,Master,Finance,Engineer,19.0,2014.0,0.0,,3463.0,329.0,2244.0,283256.0,42.0,25.0,4.0,3.6,35.0,Intermediate,112.0,3.5,,Pakistan,,0.0,5.3,
8.0,Imran Raza,Male,48.0,Single,Master,Sales,Analyst,39.0,2017.0,0.0,34906.0,13276.0,26839.0,36363.0,38658.0,97.0,14.0,10.0,4.2,32.0,Beginner,106.0,,Lahore,Pakistan,Remote,0.0,5.9,No
9.0,Bilal Khan,,30.0,Married,Matric,Operations,Assistant,,2008.0,0.0,259802.0,48628.0,6447.0,38841.0,276036.0,51.0,,2.0,3.4,72.0,Advanced,188.0,1.5,Multan,Pakistan,Remote,2.0,4.7,Yes
10.0,Nasir Khan,Female,29.0,,Bachelor,HR,Manager,1.0,2002.0,1.0,258332.0,35027.0,7880.0,37137.0,264102.0,86.0,6.0,11.0,2.6,16.0,Beginner,107.0,2.7,Quetta,Pakistan,,5.0,3.5,Yes
11.0,Nasir Khan,Female,52.0,Single,Master,HR,Engineer,14.0,2010.0,1.0,228707.0,,25989.0,7194.0,270068.0,58.0,12.0,17.0,3.1,11.0,Intermediate,138.0,,,Pakistan,Remote,8.0,2.6,Yes
12.0,Zainab Ali,Female,35.0,,Matric,Support,Officer,9.0,2005.0,2.0,89519.0,33872.0,,23918.0,120245.0,82.0,,11.0,,12.0,Intermediate,82.0,4.7,Peshawar,Pakistan,Onsite,9.0,9.5,Yes
13.0,,Male,38.0,Married,Intermediate,Support,Engineer,20.0,2008.0,3.0,,2470.0,28937.0,10458.0,134889.0,66.0,11.0,7.0,1.7,45.0,Advanced,141.0,2.9,,Pakistan,Hybrid,3.0,8.9,Yes
14.0,Ayesha Noor,Female,62.0,Single,Master,Marketing,Executive,14.0,2002.0,1.0,274130.0,40923.0,24380.0,31297.0,308136.0,84.0,13.0,,3.6,64.0,Beginner,61.0,2.5,Islamabad,Pakistan,Hybrid,9.0,7.1,Yes
15.0,Zainab Ali,Female,64.0,Married,Bachelor,Sales,Assistant,33.0,2023.0,5.0,195186.0,14260.0,20707.0,14360.0,215793.0,56.0,,11.0,,39.0,Intermediate,10.0,2.9,Multan,Pakistan,Hybrid,4.0,3.3,No
16.0,Zainab Ali,Male,59.0,Married,Matric,HR,Engineer,34.0,2008.0,3.0,,29509.0,17576.0,25376.0,252567.0,59.0,27.0,15.0,3.2,73.0,Advanced,,3.4,Quetta,Pakistan,Onsite,14.0,1.2,No
17.0,Imran Raza,Male,18.0,Single,Intermediate,IT,Assistant,4.0,2002.0,0.0,173712.0,2246.0,5555.0,24791.0,156722.0,95.0,19.0,18.0,3.7,47.0,,132.0,4.1,Peshawar,Pakistan,Onsite,10.0,3.3,No
18.0,,Female,55.0,Single,Bachelor,Sales,Assistant,18.0,2018.0,0.0,226275.0,13740.0,5921.0,1272.0,244664.0,50.0,4.0,6.0,4.2,,Intermediate,11.0,2.1,Islamabad,Pakistan,Onsite,0.0,1.4,
19.0,Usman Ali,Male,58.0,Single,Intermediate,Marketing,Manager,6.0,2003.0,3.0,209245.0,38815.0,19720.0,34220.0,233560.0,95.0,27.0,18.0,3.2,37.0,,194.0,2.1,,Pakistan,Remote,14.0,7.2,Yes
20.0,Sara Ahmed,Female,59.0,Single,Bachelor,Support,Analyst,35.0,2012.0,4.0,127895.0,26526.0,14492.0,16192.0,152721.0,62.0,27.0,16.0,,48.0,,183.0,4.7,Multan,Pakistan,Remote,9.0,9.6,No
21.0,Zainab Ali,Female,64.0,Single,PhD,Finance,,17.0,2016.0,2.0,198275.0,3456.0,8232.0,28274.0,181689.0,66.0,16.0,2.0,3.9,39.0,Intermediate,50.0,2.7,Multan,Pakistan,Hybrid,13.0,6.3,No
22.0,Sana Iqbal,Male,26.0,Single,PhD,IT,Manager,5.0,2001.0,2.0,80063.0,31617.0,24293.0,24216.0,111757.0,78.0,25.0,3.0,2.5,51.0,Intermediate,27.0,2.7,Peshawar,Pakistan,Onsite,5.0,3.2,Yes
23.0,Hina Shah,Male,40.0,Single,PhD,IT,Analyst,3.0,2015.0,4.0,84090.0,23861.0,19821.0,11761.0,116011.0,69.0,17.0,4.0,1.2,31.0,Intermediate,194.0,4.1,Multan,Pakistan,Remote,13.0,1.5,No
,Sara Ahmed,Female,31.0,Single,Intermediate,Operations,Executive,,2000.0,,209206.0,48908.0,13824.0,13772.0,258166.0,68.0,22.0,10.0,2.2,12.0,Beginner,182.0,2.0,Karachi,Pakistan,Remote,14.0,2.6,No
25.0,Sana Iqbal,Male,120.0,Married,PhD,Sales,,13.0,2002.0,3.0,205889.0,45907.0,12401.0,13500.0,250697.0,76.0,9.0,5.0,1.5,64.0,,94.0,1.7,,Pakistan,Hybrid,,3.7,
26.0,Usman Ali,Female,24.0,Married,Matric,Support,Analyst,32.0,2015.0,3.0,241898.0,48842.0,9919.0,3214.0,297445.0,41.0,17.0,19.0,4.0,,Advanced,69.0,4.3,Peshawar,Pakistan,Remote,4.0,3.9,Yes
27.0,Ali Khan,Female,48.0,Single,Matric,Finance,Analyst,20.0,2005.0,1.0,209718.0,46594.0,6777.0,37317.0,225772.0,40.0,27.0,11.0,4.3,41.0,Intermediate,49.0,,Lahore,Pakistan,Onsite,3.0,4.2,Yes
,Sana Iqbal,Female,41.0,,PhD,IT,Manager,12.0,2007.0,0.0,248139.0,19016.0,5259.0,24937.0,247477.0,58.0,10.0,15.0,4.9,11.0,Intermediate,19.0,3.3,Multan,Pakistan,Onsite,4.0,7.4,Yes
29.0,Nida Malik,Male,43.0,Married,Bachelor,Finance,Assistant,1.0,2004.0,0.0,283602.0,43553.0,25238.0,3739.0,348654.0,93.0,7.0,,3.4,67.0,Beginner,187.0,1.3,Quetta,Pakistan,Onsite,2.0,5.6,No
30.0,Hina Shah,Female,47.0,Married,Bachelor,Marketing,Analyst,14.0,2007.0,3.0,37513.0,,10880.0,31751.0,,64.0,21.0,18.0,2.9,66.0,Intermediate,165.0,3.0,Quetta,Pakistan,Onsite,14.0,4.6,Yes
31.0,Sana Iqbal,Female,51.0,Married,Intermediate,IT,Assistant,15.0,,1.0,195287.0,25422.0,13534.0,37815.0,196428.0,44.0,18.0,9.0,4.8,1.0,Intermediate,70.0,2.3,Islamabad,Pakistan,Onsite,1.0,1.6,Yes
32.0,Faizan Ahmed,Female,63.0,Married,Bachelor,Support,Officer,,2000.0,5.0,,10864.0,25189.0,,,65.0,27.0,13.0,4.7,67.0,Beginner,5.0,2.9,Quetta,Pakistan,Remote,5.0,,No
