Employee_ID,Name,Department,Gender,Age,Experience_Years,Salary,Performance_Score,Attendance_Percent,City
1,Bilal Khan,Sales,Male,21.0,14,181633.0,2.5,78.0,Lahore
2,Ayesha Noor,Sales,Male,55.0,20,138576.0,2.0,69.0,Peshawar
3,Nasir Khan,Sales,Female,20.0,3,126123.0,3.5,,Lahore
4,Zainab Ali,Marketing,Female,58.0,4,61738.0,3.1,61.0,Islamabad
5,Usman Ali,HR,Male,42.0,6,100794.0,2.4,80.0,Multan
6,Bilal Khan,Marketing,Female,45.0,34,140112.0,3.6,83.0,Quetta
7,Nida Malik,Operations,Male,30.0,14,56655.0,3.3,72.0,Islamabad
8,Imran Raza,Finance,Female,20.0,27,125409.0,4.6,64.0,Islamabad
9,Bilal Khan,Marketing,Male,30.0,1,43854.0,3.4,77.0,Lahore
10,Nasir Khan,Marketing,Male,43.0,4,211118.0,3.0,70.0,Lahore
11,Nasir Khan,IT,Male,29.0,6,204747.0,4.3,96.0,Islamabad
12,Zainab Ali,IT,Male,33.0,21,241786.0,1.8,91.0,Multan
13,Usman Ali,IT,Male,33.0,30,,2.0,87.0,Peshawar
14,Ayesha Noor,Marketing,Female,26.0,31,231483.0,4.1,81.0,Karachi
15,Zainab Ali,HR,Female,42.0,7,200205.0,2.8,87.0,Karachi
16,Zainab Ali,Finance,Male,41.0,10,60915.0,,60.0,Quetta
17,Imran Raza,Finance,Male,55.0,0,219460.0,4.5,,Lahore
18,Hina Shah,Operations,Female,46.0,18,102789.0,3.4,70.0,Karachi
19,Usman Ali,HR,Female,21.0,6,53737.0,4.2,92.0,Peshawar
20,Sara Ahmed,,Female,58.0,24,163973.0,4.2,75.0,Quetta
21,Zainab Ali,Finance,Female,38.0,21,108094.0,1.5,72.0,Multan
22,Sana Iqbal,Sales,Female,26.0,26,240941.0,,80.0,Lahore
23,Hina Shah,IT,Male,31.0,14,35001.0,4.8,98.0,Karachi
24,Sara Ahmed,IT,Male,22.0,1,246620.0,2.9,83.0,Islamabad
25,Sana Iqbal,Finance,Female,24.0,7,145804.0,3.9,86.0,Peshawar
26,Usman Ali,HR,Female,27.0,5,187883.0,3.3,96.0,Peshawar
27,Ali Khan,Operations,Female,33.0,19,123538.0,1.8,62.0,Lahore
28,Sana Iqbal,Sales,Female,,26,147600.0,1.8,71.0,Multan
29,Nida Malik,Finance,Female,26.0,22,128074.0,2.7,66.0,Peshawar
30,Hina Shah,IT,Female,26.0,16,156018.0,2.9,79.0,Lahore
31,Sana Iqbal,Marketing,Female,51.0,12,84489.0,3.0,74.0,Peshawar
32,Faizan Ahmed,HR,Female,27.0,3,62896.0,4.8,60.0,Karachi
33,Ali Khan,Marketing,Female,31.0,19,216991.0,1.4,69.0,Multan
34,Nasir Khan,,Male,29.0,24,65927.0,2.5,73.0,Lahore
35,Nasir Khan,Finance,Female,33.0,21,188402.0,3.1,74.0,Peshawar
36,Nida Malik,IT,Female,28.0,16,227768.0,4.9,93.0,Karachi
37,Sana Iqbal,Sales,Male,57.0,10,199642.0,3.0,84.0,Multan
38,Sana Iqbal,Marketing,Male,,24,182923.0,4.1,90.0,Karachi
39,Imran Raza,Sales,Male,24.0,4,46185.0,4.0,69.0,Karachi
40,Sana Iqbal,Operations,Female,20.0,20,231615.0,3.3,96.0,Multan
41,Bilal Khan,IT,Female,20.0,25,226965.0,1.5,65.0,Lahore
