Employee_ID,Name,Age,Gender,Department,Salary,Attendance_Percent,Joining_Date
1,Zainab Ali,thirty,Female,Finance,invalid,,
2,Usman Ali,,Female,Operations,128193,,2022-01-15
3,Sara Ahmed,thirty,Female,Marketing,57995,91.0,
4,Nasir babar,,Male,Sales,,,2020/03/10
5,Zainab Ali,thirty,Male,Operations,invalid,81.0,
6,Imran Raza,26,Female,IT,invalid,,2020-02-02
7,Ayesha Noor,,Female,Sales,,66.0,2020-02-02
8,Nasir Khan,thirty,Male,Operations,invalid,,
9,Ali Khan,thirty,Female,Sales,,,15-02-2021
10,Faizan Ahmed,,Male,Finance,invalid,90.0,2020-02-02
11,Ali Khan,21,Male,Sales,46414,,15-02-2021
12,Nida Malik,,Female,Operations,500000,,2020-02-02
13,Zainab Ali,thirty,Female,Operations,500000,,2022-01-15
14,Faizan Ahmed,,Female,Marketing,103337,,2020-02-02
15,Nasir Khan,thirty,Female,Sales,,,2022-01-15
16,Nasir Khan,29,Female,Sales,invalid,56.0,15-02-2021
17,Nasir Khan,,Male,Finance,78206,,15-02-2021
18,Zainab Ali,51,Male,Sales,125142,,15-02-2021
19,Imran Raza,,Male,Marketing,,,2022-01-15
20,Nasir Khan,thirty,Female,Finance,,,
21,Nida Malik,thirty,Male,Marketing,500000,49.0,15-02-2021
22,Sara Ahmed,55,Male,Operations,invalid,,15-02-2021
23,Hina Shah,thirty,Female,Sales,invalid,,2020-02-02
24,Bilal Khan,52,Female,IT,137013,49.0,2020-02-02
25,Bilal Khan,,Female,Operations,500000,96.0,2022-01-15
26,Nasir Khan,47,Male,Finance,500000,,15-02-2021
27,Usman Ali,thirty,Female,HR,,69.0,15-02-2021
28,Sara Ahmed,39,Female,IT,,97.0,
29,Zainab Ali,thirty,Male,IT,,36.0,2022-01-15
30,Zainab Ali,34,Male,Marketing,500000,,2022-01-15
31,Nasir babar,thirty,Male,Sales,invalid,,15-02-2021
32,Sara Ahmed,thirty,Female,Sales,500000,64.0,15-02-2021
33,Ayesha Noor,,Male,Marketing,invalid,,
34,Nasir Khan,thirty,Male,HR,,,
35,Ali Khan,thirty,Male,Sales,500000,,2020/03/10
36,Ali Khan,43,Male,Finance,invalid,49.0,2022-01-15
37,Faizan Ahmed,21,Male,Finance,30982,51.0,
38,Bilal Khan,thirty,Female,HR,invalid,64.0,15-02-2021
39,Faizan Ahmed,,Female,Finance,32896,53.0,2020-02-02
40,Nasir babar,59,Female,Sales,500000,,15-02-2021
41,Ali Khan,,Female,Operations,500000,83.0,
42,Nasir babar,,Male,Operations,,,
43,Nasir babar,thirty,Female,Operations,500000,,2020-02-02
44,Zainab Ali,,Female,Operations,,,2022-01-15
45,Ali Khan,31,Female,IT,84708,,
46,Imran Raza,21,Female,Operations,,87.0,2020-02-02
47,Sara Ahmed,,Female,Operations,,75.0,2020-02-02
48,Usman Ali,thirty,Male,Operations,500000,,2020/03/10
49,Zainab Ali,thirty,Female,Marketing,54894,36.0,
50,Ali Khan,,Male,Marketing,,,2022-01-15
51,Nasir babar,thirty,Female,IT,500000,55.0,2022-01-15
52,Nasir babar,57,Male,Sales,invalid,,
53,Usman Ali,,Female,Sales,,,2020/03/10
54,Usman Ali,,Male,Finance,,75.0,2020/03/10
55,Zainab Ali,22,Female,Marketing,invalid,,2020/03/10
56,Faizan Ahmed,thirty,Female,Operations,47121,49.0,2020/03/10
57,Zainab Ali,thirty,Female,Marketing,invalid,77.0,15-02-2021
58,Faizan Ahmed,thirty,Female,IT,500000,58.0,15-02-2021
59,Bilal Khan,thirty,Female,IT,invalid,51.0,2020-02-02
60,Ayesha Noor,,Female,Marketing,invalid,,15-02-2021
61,Imran Raza,20,Male,Sales,invalid,,15-02-2021
62,Hina Shah,25,Male,Sales,,,15-02-2021
63,Zainab Ali,30,Male,Sales,invalid,90.0,2022-01-15
64,Ali Khan,51,Female,Marketing,invalid,,2020-02-02
65,Nasir babar,thirty,Male,HR,,,2022-01-15
66,Nasir babar,59,Male,Finance,500000,95.0,15-02-2021
67,Sara Ahmed,58,Female,IT,invalid,83.0,
68,Hina Shah,,Female,Marketing,invalid,44.0,
69,Zainab Ali,,Male,Finance,invalid,38.0,2020/03/10
70,Ali Khan,28,Female,Finance,invalid,,2020-02-02
71,Hina Shah,34,Female,Finance,invalid,80.0,15-02-2021
72,Faizan Ahmed,thirty,Female,HR,invalid,74.0,2020/03/10
73,Ali Khan,,Female,Marketing,invalid,,
74,Nasir babar,,Male,IT,500000,,
75,Imran Raza,,Male,Finance,invalid,80.0,2020/03/10
76,Zainab Ali,58,Male,Sales,invalid,40.0,2020-02-02
77,Faizan Ahmed,thirty,Female,IT,invalid,61.0,2020/03/10
78,Faizan Ahmed,thirty,Female,Sales,500000,,2020-02-02
79,Ali Khan,,Female,IT,110177,45.0,
80,Nasir babar,37,Female,Marketing,77488,,2020/03/10
81,Usman Ali,,Male,HR,94626,,
82,Nida Malik,56,Female,HR,invalid,,2022-01-15
83,Usman Ali,,Female,Finance,,43.0,2022-01-15
84,Faizan Ahmed,22,Female,Operations,500000,,2020/03/10
85,Imran Raza,thirty,Female,Finance,,96.0,2020/03/10
86,Hina Shah,54,Female,Finance,61448,,2022-01-15
87,Imran Raza,39,Female,HR,,72.0,15-02-2021
88,Zainab Ali,,Male,Sales,invalid,,2020-02-02
89,Ayesha Noor,,Female,Sales,500000,97.0,2020-02-02
90,Nasir Khan,thirty,Female,Finance,invalid,,2020/03/10
91,Faizan Ahmed,56,Female,Finance,139959,,2022-01-15
92,Nasir babar,36,Male,IT,,,2020/03/10
93,Zainab Ali,,Male,Finance,,,2020/03/10
94,Imran Raza,44,Male,HR,45778,,2020/03/10
95,Zainab Ali,26,Male,IT,invalid,72.0,2020-02-02
96,Ali Khan,thirty,Male,HR,500000,48.0,
97,Ali Khan,35,Male,HR,,,15-02-2021
98,Hina Shah,,Male,HR,,,
99,Zainab Ali,thirty,Male,Operations,126665,,
100,Bilal Khan,thirty,Male,IT,500000,44.0,2020/03/10
101,Sara Ahmed,46,Female,Finance,,,2022-01-15
102,Zainab Ali,49,Male,IT,,,2020/03/10
103,Ayesha Noor,34,Female,IT,51354,74.0,2020-02-02
104,Nida Malik,57,Female,Finance,55146,,2020-02-02
105,Usman Ali,31,Female,Operations,,61.0,2022-01-15
106,Zainab Ali,,Female,Sales,500000,,2020-02-02
107,Zainab Ali,,Male,Operations,500000,94.0,
108,Imran Raza,34,Female,IT,500000,51.0,2020/03/10
109,Sara Ahmed,thirty,Female,Operations,500000,62.0,15-02-2021
110,Nida Malik,thirty,Female,IT,49097USD,,
111,Faizan Ahmed,39,Male,HR,,49.0,
112,Imran Raza,,Male,Sales,,,2020/03/10
113,Nasir babar,,Male,Finance,,80.0,2020/03/10
114,Ali Khan,55,Male,Operations,121458,56.0,2022-01-15
115,Hina Shah,thirty,Female,Operations,,74.0,2020-02-02
116,Faizan Ahmed,34,Male,Operations,500000,,
117,Nida Malik,39,Female,IT,invalid,43.0,15-02-2021
118,Zainab Ali,,Male,Sales,invalid,94.0,15-02-2021
119,Hina Shah,31,Female,Sales,,,
120,Nasir babar,thirty,Male,Operations,invalid,45.0,2020-02-02
121,Zainab Ali,38,Male,IT,38596,70.0,15-02-2021
122,Bilal Khan,58,Female,Operations,67693,72.0,2022-01-15
123,Zainab Ali,thirty,Female,IT,58398,78.0,2020/03/10
124,Faizan Ahmed,42,Male,Finance,130559,37.0,2022-01-15
125,Imran Raza,thirty,Male,IT,,,2020/03/10
126,Nasir Khan,57,Female,Operations,84297,76.0,2020-02-02
127,Imran Raza,54,Female,IT,invalid,85.0,2020/03/10
128,Bilal Khan,thirty,Male,IT,500000,42.0,15-02-2021
129,Ayesha Noor,37,Male,HR,122834,,
130,Nida Malik,thirty,Female,Operations,90100,85.0,2020/03/10
131,Nida Malik,,Female,Finance,67750,,
132,Zainab Ali,thirty,Male,Operations,500000,,2020/03/10
133,Nasir Khan,33,Female,HR,77223,,2020/03/10
134,Nasir babar,45,Female,Sales,invalid,,2022-01-15
135,Faizan Ahmed,thirty,Male,Sales,invalid,,
136,Faizan Ahmed,thirty,Female,Sales,invalid,63.0,15-02-2021
137,Hina Shah,,Male,IT,invalid,,2020-02-02
138,Ali Khan,32,Male,Sales,500000,39.0,
139,Ayesha Noor,57,Male,Operations,500000,92.0,2022-01-15
140,Faizan Ahmed,47,Female,Operations,95689,74.0,2022-01-15
141,Nida Malik,thirty,Male,IT,73985,52.0,2022-01-15
142,Nasir Khan,32,Male,Sales,500000,,2020-02-02
143,Hina Shah,thirty,Male,Operations,500000,80.0,
144,Ayesha Noor,thirty,Female,IT,,,15-02-2021
145,Nida Malik,thirty,Female,Sales,,48.0,2022-01-15
146,Zainab Ali,,Female,Sales,75589,,
147,Faizan Ahmed,thirty,Male,Sales,,,2022-01-15
148,Nida Malik,,Male,HR,invalid,,
149,Faizan Ahmed,,Male,HR,invalid,39.0,15-02-2021
150,Sara Ahmed,thirty,Female,Finance,,72.0,
151,Hina Shah,,Female,Operations,invalid,71.0,
152,Nasir babar,thirty,Female,Sales,invalid,,15-02-2021
153,Hina Shah,thirty,Female,Operations,,,2020-02-02
154,Hina Shah,,Female,Sales,500000,82.0,
155,Bilal Khan,27,Male,Marketing,invalid,45.0,2022-01-15
156,Bilal Khan,28,Male,IT,,,
157,Hina Shah,thirty,Male,Marketing,500000,38.0,2020/03/10
158,Faizan Ahmed,,Female,Sales,,,
159,Ali Khan,46,Male,IT,,,
160,Usman Ali,,Female,Finance,500000,,2020-02-02
161,Ayesha Noor,59,Female,Finance,invalid,72.0,2020-02-02
162,Usman Ali,,Female,HR,51269,94.0,
163,Ali Khan,,Female,IT,,,2020/03/10
164,Bilal Khan,thirty,Female,Finance,500000,70.0,2022-01-15
165,Zainab Ali,48,Female,Sales,500000,83.0,15-02-2021
166,Sara Ahmed,thirty,Male,Marketing,500000,,2020-02-02
167,Faizan Ahmed,,Male,Sales,,,2022-01-15
168,Usman Ali,32,Male,Marketing,500000,,2020/03/10
169,Hina Shah,41,Male,Sales,500000,,
170,Nida Malik,49,Male,Marketing,invalid,,2020-02-02
171,Nasir Khan,51,Female,HR,invalid,64.0,2020/03/10
172,Bilal Khan,thirty,Male,IT,109566,50.0,2022-01-15
173,Nida Malik,44,Female,Marketing,500000,,2020-02-02
174,Usman Ali,23,Female,Marketing,,76.0,2020/03/10
175,Hina Shah,,Female,Sales,invalid,75.0,15-02-2021
176,Bilal Khan,,Male,IT,500000,,2020/03/10
177,Faizan Ahmed,,Female,Operations,500000USD,57.0,15-02-2021
178,Zainab Ali,48,Female,HR,142098,55.0,2020/03/10
179,Usman Ali,thirty,Female,Sales,invalid,,15-02-2021
180,Usman Ali,,Female,Marketing,500000,45.0,
181,Hina Shah,,Male,Sales,invalid,,2020-02-02
182,Imran Raza,,Female,Finance,invalid,,2022-01-15
183,Nasir babar,thirty,Male,Finance,500000,44.0,2020-02-02
184,Ali Khan,,Female,Sales,49424,87.0,2020/03/10
185,Bilal Khan,,Male,IT,131819,37.0,2020/03/10
186,Nasir Khan,thirty,Male,Finance,118761,,15-02-2021
187,Usman Ali,56,Female,Sales,32305,49.0,2020/03/10
188,Faizan Ahmed,thirty,Male,HR,,,
189,Ayesha Noor,55,Female,Operations,,59.0,2020-02-02
190,Nasir Khan,,Male,Marketing,500000,77.0,
191,Nida Malik,51,Female,HR,500000,,2022-01-15
192,Zainab Ali,thirty,Male,Marketing,35196,,2020/03/10
193,Imran Raza,thirty,Female,Operations,,,2020-02-02
194,Nasir babar,thirty,Female,IT,invalid,61.0,2020-02-02
195,Ali Khan,thirty,Male,Operations,500000,,15-02-2021
196,Ayesha Noor,26,Female,HR,60254,88.0,2022-01-15
197,Hina Shah,35,Female,Finance,500000,,2020/03/10
198,Hina Shah,thirty,Female,IT,500000,41.0,
199,Nasir Khan,,Male,HR,,37.0,2020-02-02
200,Ayesha Noor,thirty,Female,Marketing,,62.0,2022-01-15
201,Nasir babar,,Male,IT,500000,,2020/03/10
202,Ali Khan,,Female,Operations,43030,,2022-01-15
203,Imran Raza,thirty,Male,HR,,,2020-02-02
204,Nasir Khan,thirty,Female,IT,,43.0,2020/03/10
205,Hina Shah,38,Female,Sales,114471USD,42.0,2020-02-02
206,Zainab Ali,28,Male,IT,,56.0,2022-01-15
207,Bilal Khan,thirty,Female,Operations,500000,,2022-01-15
208,Nida Malik,thirty,Male,IT,129946,72.0,15-02-2021
209,Hina Shah,thirty,Male,Finance,invalid,,2022-01-15
210,Nasir babar,,Female,Finance,invalid,77.0,2020/03/10
211,Zainab Ali,,Female,IT,500000,93.0,
212,Bilal Khan,thirty,Female,Sales,500000USD,,2020/03/10
213,Faizan Ahmed,,Male,Operations,53302,91.0,
214,Zainab Ali,thirty,Male,IT,500000,,2020/03/10
215,Faizan Ahmed,,Female,HR,invalid,91.0,
216,Usman Ali,,Female,Marketing,,,2022-01-15
217,Usman Ali,thirty,Female,HR,,,
218,Hina Shah,thirty,Male,Sales,,,
219,Faizan Ahmed,36,Male,IT,500000,,
220,Ali Khan,37,Female,IT,106024,55.0,2020-02-02
221,Sara Ahmed,,Male,Marketing,62982,91.0,2022-01-15
222,Nasir Khan,45,Male,Sales,,43.0,2020-02-02
223,Hina Shah,,Male,Sales,500000,62.0,2020/03/10
224,Ayesha Noor,,Female,Finance,,,2020-02-02
225,Bilal Khan,50,Male,Finance,137902,,2020/03/10
226,Usman Ali,,Female,Marketing,45954,,2022-01-15
227,Usman Ali,thirty,Female,Finance,63475,,2020-02-02
228,Nasir Khan,thirty,Male,Sales,invalid,,15-02-2021
229,Nasir Khan,50,Female,Operations,invalid,94.0,15-02-2021
230,Sara Ahmed,32,Male,Sales,invalid,,
231,Ali Khan,37,Male,Finance,125281,54.0,15-02-2021
232,Imran Raza,,Male,Marketing,141041,95.0,2020/03/10
233,Ayesha Noor,thirty,Female,Marketing,49737,53.0,
234,Sara Ahmed,,Male,HR,invalid,,2022-01-15
235,Sara Ahmed,,Male,Operations,99521,,
236,Usman Ali,32,Male,HR,,,
237,Ayesha Noor,27,Male,Sales,144441,97.0,15-02-2021
238,Ayesha Noor,52,Male,Operations,,,2020-02-02
239,Faizan Ahmed,,Male,Marketing,500000,,2020-02-02
240,Hina Shah,thirty,Male,IT,,,15-02-2021
241,Zainab Ali,49,Female,Marketing,invalid,78.0,
242,Hina Shah,thirty,Female,Finance,invalid,82.0,2022-01-15
243,Sara Ahmed,thirty,Female,Marketing,,,2020/03/10
244,Ayesha Noor,27,Female,Finance,143742,78.0,2022-01-15
245,Nasir babar,21,Male,IT,117626,66.0,2020-02-02
246,Nasir Khan,,Female,Marketing,,84.0,
247,Hina Shah,thirty,Female,Sales,invalid,54.0,2022-01-15
248,Nasir babar,,Male,Operations,500000,61.0,15-02-2021
249,Nasir babar,,Male,Sales,112344,,2020/03/10
250,Faizan Ahmed,32,Female,IT,89286,,15-02-2021
251,Nida Malik,thirty,Female,Finance,76487,75.0,2022-01-15
252,Faizan Ahmed,thirty,Female,IT,invalid,,2020-02-02
253,Imran Raza,31,Male,Sales,,94.0,2022-01-15
254,Ayesha Noor,56,Male,Operations,58031,62.0,15-02-2021
255,Ayesha Noor,,Female,Operations,500000,,2020-02-02
256,Ayesha Noor,,Female,Finance,500000,65.0,
257,Imran Raza,,Male,Finance,,,
258,Nida Malik,57,Female,HR,invalid,,2020-02-02
259,Sara Ahmed,,Female,Sales,,79.0,2022-01-15
260,Sara Ahmed,52,Female,Sales,140771,70.0,
261,Sara Ahmed,23,Male,HR,invalid,,2020-02-02
262,Imran Raza,thirty,Female,Sales,invalid,,2020/03/10
263,Ayesha Noor,,Male,HR,500000,,2020-02-02
264,Ali Khan,,Male,Sales,,,2020/03/10
265,Ali Khan,20,Male,Marketing,500000,,
266,Ali Khan,43,Male,Finance,invalid,98.0,2020-02-02
267,Zainab Ali,,Male,Marketing,144076,92.0,2022-01-15
268,Usman Ali,28,Female,Marketing,,,2020/03/10
269,Ayesha Noor,28,Female,Operations,140714,,15-02-2021
270,Nasir Khan,,Male,Sales,,40.0,2020/03/10
271,Hina Shah,thirty,Male,Finance,invalid,,2022-01-15
272,Usman Ali,thirty,Female,Sales,,,2022-01-15
273,Nasir babar,21,Male,HR,,79.0,15-02-2021
274,Zainab Ali,,Female,Marketing,134436,70.0,2020-02-02
275,Imran Raza,40,Female,Marketing,,62.0,2020-02-02
276,Usman Ali,thirty,Male,IT,invalid,,2020/03/10
277,Hina Shah,thirty,Male,Finance,108876,,15-02-2021
278,Usman Ali,thirty,Female,IT,invalid,,
279,Nasir Khan,60,Female,Marketing,,87.0,2022-01-15
280,Imran Raza,,Female,Operations,500000,89.0,
281,Nasir babar,,Male,Sales,500000,,15-02-2021
282,Usman Ali,thirty,Female,Marketing,,97.0,
283,Usman Ali,,Female,Finance,invalid,83.0,2022-01-15
284,Imran Raza,thirty,Male,Operations,,,
285,Hina Shah,20,Male,Finance,500000,77.0,
286,Nasir Khan,45,Male,Operations,500000,,2020-02-02
287,Nida Malik,27,Female,Operations,invalidUSD,91.0,2020/03/10
288,Bilal Khan,thirty,Female,Marketing,500000,,2022-01-15
289,Ayesha Noor,thirty,Female,Finance,,87.0,
290,Faizan Ahmed,,Male,Finance,139302,86.0,15-02-2021
291,Nasir Khan,,Male,IT,500000,37.0,2020-02-02
292,Nasir Khan,55,Male,Operations,,77.0,2020-02-02
293,Bilal Khan,thirty,Female,HR,135612,85.0,2020-02-02
294,Sara Ahmed,26,Male,Sales,500000,78.0,
295,Ali Khan,thirty,Female,Finance,invalid,,15-02-2021
296,Nasir babar,thirty,Male,HR,44001,,2020/03/10
297,Ayesha Noor,53,Male,IT,,35.0,15-02-2021
298,Nasir Khan,34,Male,IT,,74.0,2022-01-15
299,Imran Raza,39,Male,Marketing,,40.0,2022-01-15
300,Ali Khan,,Male,Sales,invalid,,2020/03/10
301,Bilal Khan,thirty,Female,Finance,500000,71.0,2022-01-15
302,Bilal Khan,,Female,Marketing,100294,,2022-01-15
303,Nida Malik,thirty,Male,Operations,invalid,86.0,2020/03/10
